x,r
-185,55
-184.6974864,55
-184.3949729,55
-184.0924593,55
-183.7899457,55
-183.4874321,55
-183.1849186,55
-182.882405,55
-182.5798914,55
-182.2773779,55
-181.9748643,55
-181.6723507,55
-181.3698371,55
-181.0673236,55
-180.76481,55
-180.4622964,55
-180.1597828,55
-179.8572693,55
-179.5547557,55
-179.2522421,55
-178.9497286,55
-178.647215,55
-178.3447014,55
-178.0421878,55
-177.7396743,55
-177.4371607,55
-177.1346471,55
-176.8321336,55
-176.52962,55
-176.2271064,55
-175.9245928,55
-175.6220793,55
-175.3195657,55
-175.0170521,55
-174.7145386,55
-174.412025,55
-174.1095114,55
-173.8069978,55
-173.5044843,55
-173.2019707,55
-172.8994571,55
-172.5969435,55
-172.29443,55
-171.9919164,55
-171.6894028,55
-171.3868893,55
-171.0843757,55
-170.7818621,55
-170.4793485,55
-170.176835,55
-169.8743214,55
-169.5718078,55
-169.2692943,55
-168.9667807,55
-168.6642671,55
-168.3617535,55
-168.05924,55
-167.7567264,55
-167.4542128,55
-167.1516993,55
-166.8491857,55
-166.5466721,55
-166.2441585,55
-165.941645,55
-165.6391314,55
-165.3366178,55
-165.0341042,55
-164.7315907,55
-164.4290771,55
-164.1265635,55
-163.82405,55
-163.5215364,55
-163.2190228,55
-162.9165092,55
-162.6139957,55
-162.3114821,55
-162.0089685,55
-161.706455,55
-161.4039414,55
-161.1014278,55
-160.7989142,55
-160.4964007,55
-160.1938871,55
-159.8913735,55
-159.58886,55
-159.2863464,55
-158.9838328,55
-158.6813192,55
-158.3788057,55
-158.0762921,55
-157.7737785,55
-157.4712649,55
-157.1687514,55
-156.8662378,55
-156.5637242,55
-156.2612107,55
-155.9586971,55
-155.6561835,55
-155.3536699,55
-155.0511564,55
-154.7486428,55
-154.4461292,55
-154.1436157,55
-153.8411021,55
-153.5385885,55
-153.2360749,55
-152.9335614,55
-152.6310478,55
-152.3285342,55
-152.0260207,55
-151.7235071,55
-151.4209935,55
-151.1184799,55
-150.8159664,55
-150.5134528,55
-150.2109392,55
-149.9084256,55
-149.6059121,55
-149.3033985,55
-149.0008849,55
-148.6983714,55
-148.3958578,55
-148.0933442,55
-147.7908306,55
-147.4883171,55
-147.1858035,55
-146.8832899,55
-146.5807764,55
-146.2782628,55
-145.9757492,55
-145.6732356,55
-145.3707221,55
-145.0682085,55
-144.7656949,55
-144.4631814,55
-144.1606678,55
-143.8581542,55
-143.5556406,55
-143.2531271,55
-142.9506135,55
-142.6480999,55
-142.3455863,55
-142.0430728,55
-141.7405592,55
-141.4380456,55
-141.1355321,55
-140.8330185,55
-140.5305049,55
-140.2279913,55
-139.9254778,55
-139.6229642,55
-139.3204506,55
-139.0179371,55
-138.7154235,55
-138.4129099,55
-138.1103963,55
-137.8078828,55
-137.5053692,55
-137.2028556,55
-136.9003421,55
-136.5978285,55
-136.2953149,55
-135.9928013,55
-135.6902878,55
-135.3877742,55
-135.0852606,55
-134.782747,55
-134.4802335,55
-134.1777199,55
-133.8752063,55
-133.5726928,55
-133.2701792,55
-132.9676656,55
-132.665152,55
-132.3626385,55
-132.0601249,55
-131.7576113,55
-131.4550978,55
-131.1525842,55
-130.8500706,55
-130.547557,55
-130.2450435,55
-129.9425299,55
-129.6400163,55
-129.3375028,55
-129.0349892,55
-128.7324756,55
-128.429962,55
-128.1274485,55
-127.8249349,55
-127.5224213,55
-127.2199077,55
-126.9173942,55
-126.6148806,55
-126.312367,55
-126.0098535,55
-125.7073399,55
-125.4048263,55
-125.1023127,55
-124.7997992,55
-124.4972856,55
-124.194772,55
-123.8922585,55
-123.5897449,55
-123.2872313,55
-122.9847177,55
-122.6822042,55
-122.3796906,55
-122.077177,55
-121.7746635,55
-121.4721499,55
-121.1696363,55
-120.8671227,55
-120.5646092,55
-120.2620956,55
-119.959582,55
-119.6570684,55
-119.3545549,55
-119.0520413,55
-118.7495277,55
-118.4470142,55
-118.1445006,55
-117.841987,55
-117.5394734,55
-117.2369599,55
-116.9344463,55
-116.6319327,55
-116.3294192,55
-116.0269056,55
-115.724392,55
-115.4218784,55
-115.1193649,55
-114.8168513,55
-114.5143377,55
-114.2118242,55
-113.9093106,55
-113.606797,55
-113.3042834,55
-113.0017699,55
-112.6992563,55
-112.3967427,55
-112.0942291,55
-111.7917156,55
-111.489202,55
-111.1866884,55
-110.8841749,55
-110.5816613,55
-110.2791477,55
-109.9766341,55
-109.6741206,55
-109.371607,55
-109.0690934,55
-108.7665799,55
-108.4640663,55
-108.1615527,55
-107.8590391,55
-107.5565256,55
-107.254012,55
-106.9514984,55
-106.6489849,55
-106.3464713,55
-106.0439577,55
-105.7414441,55
-105.4389306,55
-105.136417,55
-104.8339034,55
-104.5313898,55
-104.2288763,55
-103.9263627,55
-103.6238491,55
-103.3213356,55
-103.018822,55
-102.7163084,55
-102.4137949,54.99993009
-102.1112822,54.99922225
-101.8087723,54.9977518
-101.506267,54.99551873
-101.2037684,54.99252308
-100.9012782,54.98876486
-100.5987985,54.98424408
-100.2963312,54.97896079
-99.9938781,54.972915
-99.69144123,54.96610677
-99.38902248,54.95853614
-99.08662378,54.95020315
-98.78424705,54.94110786
-98.4818942,54.93125032
-98.17956717,54.92063059
-97.87726787,54.90924875
-97.57499823,54.89710487
-97.27276015,54.88419902
-96.97055558,54.87053129
-96.66838642,54.85610176
-96.36625459,54.84091052
-96.06416203,54.82495768
-95.76211063,54.80824333
-95.46010234,54.79076757
-95.15813906,54.77253053
-94.85622271,54.75353231
-94.55435522,54.73377304
-94.25253849,54.71325284
-93.95077446,54.69197184
-93.64906503,54.66993018
-93.34741213,54.64712799
-93.04581767,54.62356543
-92.74428357,54.59924264
-92.44281174,54.57415978
-92.14140411,54.54831701
-91.84006257,54.52171448
-91.53878906,54.49435237
-91.23758549,54.46623086
-90.93645376,54.43735012
-90.6353958,54.40771034
-90.33441352,54.37731169
-90.03350883,54.34615439
-89.73268363,54.31423862
-89.43193985,54.28156459
-89.1312794,54.24813251
-88.83070418,54.21394258
-88.53021611,54.17899503
-88.22981709,54.14329008
-87.92950904,54.10682795
-87.62929386,54.06960887
-87.32917347,54.03163309
-87.02914976,53.99290085
-86.72922464,53.95341238
-86.42940003,53.91316794
-86.12967783,53.8721678
-85.83005993,53.8304122
-85.53054825,53.78790141
-85.23114469,53.7446357
-84.93185115,53.70061536
-84.63266954,53.65584065
-84.33360175,53.61031186
-84.03464969,53.56402928
-83.73581525,53.51699321
-83.43710034,53.46920395
-83.13850685,53.42066179
-82.84003668,53.37136705
-82.54169173,53.32132004
-82.24347389,53.27052108
-81.94538507,53.21897049
-81.64742714,53.1666686
-81.34960201,53.11361574
-81.05191158,53.05981224
-80.75435772,53.00525846
-80.45694233,52.94995474
-80.15966731,52.89390142
-79.86253454,52.83709886
-79.56554591,52.77954744
-79.26870331,52.7212475
-78.97200863,52.66219943
-78.67546374,52.60240359
-78.37907053,52.54186037
-78.0828309,52.48057015
-77.78674671,52.41853332
-77.49081986,52.35575028
-77.19505222,52.29222142
-76.89944567,52.22794715
-76.60400209,52.16292788
-76.30872337,52.09716402
-76.01361136,52.03065598
-75.71866796,51.9634042
-75.42389504,51.89540909
-75.12929446,51.8266711
-74.8348681,51.75719065
-74.54061783,51.68696819
-74.24654553,51.61600416
-73.95265306,51.54429902
-73.65894228,51.47185322
-73.36541507,51.39866723
-73.07207329,51.3247415
-72.77891881,51.25007651
-72.48595348,51.17467272
-72.19317918,51.09853063
-71.90059775,51.02165072
-71.60821106,50.94403346
-71.31602097,50.86567937
-71.02402934,50.78658892
-70.73223802,50.70676264
-70.44064886,50.62620101
-70.14926372,50.54490457
-69.85808444,50.46287381
-69.56711289,50.38010927
-69.27635091,50.29661147
-68.98580034,50.21238095
-68.69546304,50.12741822
-68.40534085,50.04172385
-68.11543561,49.95529836
-67.82574917,49.86814231
-67.53628336,49.78025626
-67.24704002,49.69164076
-66.958021,49.60229638
-66.66922813,49.51222368
-66.38066325,49.42142323
-66.09232819,49.32989562
-65.80422478,49.23764142
-65.51635485,49.14466122
-65.22872023,49.05095561
-64.94132276,48.95652519
-64.65416425,48.86137056
-64.36724653,48.76549232
-64.08057143,48.66889108
-63.79414077,48.57156746
-63.50795636,48.47352207
-63.22202004,48.37475553
-62.9363336,48.27526848
-62.65089887,48.17506155
-62.36571767,48.07413537
-62.0807918,47.97249059
-61.79612308,47.87012784
-61.51171331,47.76704779
-61.22756431,47.66325109
-60.94367787,47.55873839
-60.66005581,47.45351036
-60.37669992,47.34756767
-60.09361201,47.24091099
-59.81079387,47.133541
-59.5282473,47.02545839
-59.24597411,46.91666383
-58.96397607,46.80715803
-58.68225499,46.69694167
-58.40081266,46.58601546
-58.11965085,46.4743801
-57.83877137,46.36203631
-57.55817599,46.24898479
-57.2778665,46.13522626
-56.99784468,46.02076145
-56.71811231,45.90559108
-56.43867116,45.78971589
-56.15952302,45.67313662
-55.88066966,45.555854
-55.60211284,45.43786877
-55.32385434,45.3191817
-55.04589593,45.19979353
-54.76823938,45.07970502
-54.49088644,44.95891693
-54.21383889,44.83743004
-53.93709847,44.71524511
-53.66066696,44.59236293
-53.38454611,44.46878426
-53.10873766,44.34450991
-52.83324339,44.21954065
-52.55806502,44.09387728
-52.28320433,43.9675206
-52.00866304,43.84047142
-51.73444291,43.71273053
-51.46054568,43.58429876
-51.18697309,43.45517692
-50.91372688,43.32536583
-50.64080878,43.19486631
-50.36822053,43.06367919
-50.09596386,42.93180531
-49.82404051,42.79924551
-49.55245219,42.66600062
-49.28120064,42.5320715
-49.01028758,42.397459
-48.73971473,42.26216396
-48.46948382,42.12618726
-48.19959655,41.98952975
-47.93005464,41.85219231
-47.66085981,41.7141758
-47.39201377,41.5754811
-47.12351822,41.4361091
-46.85537488,41.29606068
-46.58758544,41.15533674
-46.32015161,41.01393815
-46.05307509,40.87186583
-45.78635757,40.72912068
-45.52000075,40.5857036
-45.25400633,40.44161551
-44.98837599,40.29685731
-44.72311142,40.15142994
-44.4582143,40.00533431
-44.19368633,39.85857136
-43.92952918,39.71114201
-43.66574453,39.56304721
-43.40233406,39.41428789
-43.13929944,39.264865
-42.87664234,39.11477949
-42.61436443,38.96403231
-42.35236598,38.8127998
-42.09038154,38.66154301
-41.8283971,38.51028623
-41.56641267,38.35902944
-41.30442823,38.20777265
-41.04244379,38.05651587
-40.78045935,37.90525908
-40.51847491,37.7540023
-40.25649047,37.60274551
-39.99450604,37.45148872
-39.7325216,37.30023194
-39.47053716,37.14897515
-39.20855272,36.99771837
-38.94656828,36.84646158
-38.68458384,36.69520479
-38.42259941,36.54394801
-38.16061497,36.39269122
-37.89863053,36.24143444
-37.63664609,36.09017765
-37.37466165,35.93892086
-37.11267721,35.78766408
-36.85069278,35.63640729
-36.58870834,35.48515051
-36.3267239,35.33389372
-36.06473946,35.18263693
-35.80275502,35.03138015
-35.54077058,34.88012336
-35.27878615,34.72886658
-35.01680171,34.57760979
-34.75481727,34.426353
-34.49283283,34.27509622
-34.23084839,34.12383943
-33.96886395,33.97258265
-33.70687952,33.82132586
-33.44489508,33.67006907
-33.18291064,33.51881229
-32.9209262,33.3675555
-32.65894176,33.21629872
-32.39695732,33.06504193
-32.13497289,32.91378514
-31.87298845,32.76252836
-31.61100401,32.61127157
-31.34901957,32.46001479
-31.08703513,32.308758
-30.82505069,32.15750121
-30.56306626,32.00624443
-30.30108182,31.85498764
-30.03909738,31.70373086
-29.77711294,31.55247407
-29.5151285,31.40121728
-29.25314406,31.2499605
-28.99115963,31.09870371
-28.72917519,30.94744693
-28.46719075,30.79619014
-28.20520631,30.64493335
-27.94322187,30.49367657
-27.68123743,30.34241978
-27.419253,30.191163
-27.15726856,30.03990621
-26.89528412,29.88864942
-26.63329968,29.73739264
-26.37131524,29.58613585
-26.1093308,29.43487907
-25.84734637,29.28362228
-25.58536193,29.13236549
-25.32337749,28.98110871
-25.06139305,28.82985192
-24.79940861,28.67859514
-24.53742417,28.52733835
-24.27543974,28.37608156
-24.0134553,28.22482478
-23.75147086,28.07356799
-23.48948642,27.92231121
-23.22750198,27.77105442
-22.96551754,27.61979763
-22.70353311,27.46854085
-22.44154867,27.31728406
-22.17956423,27.16602728
-21.91757979,27.01477049
-21.65559535,26.8635137
-21.39361091,26.71225692
-21.13162648,26.56100013
-20.86964204,26.40974335
-20.6076576,26.25848656
-20.34567316,26.10722977
-20.08368872,25.95597299
-19.82170428,25.8047162
-19.55971985,25.65345942
-19.29773541,25.50220263
-19.03575097,25.35094584
-18.77376653,25.19968906
-18.51178209,25.04843227
-18.24979765,24.89717549
-17.98781322,24.7459187
-17.72582878,24.59466191
-17.46384434,24.44340513
-17.2018599,24.29214834
-16.93987546,24.14089156
-16.67789102,23.98963477
-16.41590659,23.83837798
-16.15392215,23.6871212
-15.89193771,23.53586441
-15.62995327,23.38460763
-15.36796883,23.23335084
-15.10598439,23.08209405
