x,r
-238,45
-237.4174198,45
-236.8348396,45
-236.2522593,45
-235.6696791,45
-235.0870989,45
-234.5045187,45
-233.9219385,45
-233.3393582,45
-232.756778,45
-232.1741978,45
-231.5916176,45
-231.0090373,45
-230.4264571,45
-229.8438769,45
-229.2612967,45
-228.6787165,45
-228.0961362,45
-227.513556,45
-226.9309758,45
-226.3483956,45
-225.7658154,45
-225.1832351,45
-224.6006549,45
-224.0180747,45
-223.4354945,45
-222.8529142,45
-222.270334,45
-221.6877538,45
-221.1051736,45
-220.5225934,45
-219.9400131,45
-219.3574329,45
-218.7748527,45
-218.1922725,45
-217.6096923,45
-217.027112,45
-216.4445318,45
-215.8619516,45
-215.2793714,45
-214.6967911,45
-214.1142109,45
-213.5316307,45
-212.9490505,45
-212.3664703,45
-211.78389,45
-211.2013098,45
-210.6187296,45
-210.0361494,45
-209.4535692,45
-208.8709889,45
-208.2884087,45
-207.7058285,45
-207.1232483,45
-206.540668,45
-205.9580878,45
-205.3755076,45
-204.7929274,45
-204.2103472,45
-203.6277669,45
-203.0451867,45
-202.4626065,45
-201.8800263,45
-201.2974461,45
-200.7148658,45
-200.1322856,45
-199.5497054,45
-198.9671252,45
-198.3845449,45
-197.8019647,45
-197.2193845,45
-196.6368043,45
-196.0542241,45
-195.4716438,45
-194.8890636,45
-194.3064834,45
-193.7239032,45
-193.141323,45
-192.5587427,45
-191.9761625,45
-191.3935823,45
-190.8110021,45
-190.2284218,45
-189.6458416,45
-189.0632614,45
-188.4806812,45
-187.898101,45
-187.3155207,45
-186.7329405,45
-186.1503603,45
-185.5677801,45
-184.9851999,45
-184.4026196,45
-183.8200394,45
-183.2374592,45
-182.654879,45
-182.0722987,45
-181.4897185,45
-180.9071383,45
-180.3245581,45
-179.7419779,45
-179.1593976,45
-178.5768174,45
-177.9942372,45
-177.411657,45
-176.8290768,45
-176.2464965,45
-175.6639163,45
-175.0813361,45
-174.4987559,45
-173.9161756,45
-173.3335954,45
-172.7510152,45
-172.168435,45
-171.5858548,45
-171.0032745,45
-170.4206943,45
-169.8381141,45
-169.2555339,45
-168.6729537,45
-168.0903734,45
-167.5077932,45
-166.925213,45
-166.3426328,45
-165.7600525,45
-165.1774723,45
-164.5948921,45
-164.0123119,45
-163.4297317,45
-162.8471514,45
-162.2645712,45
-161.681991,45
-161.0994108,45
-160.5168306,45
-159.9342503,45
-159.3516701,45
-158.7690899,45
-158.1865097,45
-157.6039294,45
-157.0213492,45
-156.438769,45
-155.8561888,45
-155.2736086,45
-154.6910283,45
-154.1084481,45
-153.5258679,45
-152.9432877,45
-152.3607075,45
-151.7781272,45
-151.195547,45
-150.6129668,45
-150.0303866,45
-149.4478063,45
-148.8652261,45
