x,r
-200,55
-199.6860464,55
-199.3720927,55
-199.0581391,55
-198.7441854,55
-198.4302318,55
-198.1162781,55
-197.8023245,55
-197.4883708,55
-197.1744172,55
-196.8604635,55
-196.5465099,55
-196.2325562,55
-195.9186026,55
-195.6046489,55
-195.2906953,55
-194.9767416,55
-194.662788,55
-194.3488343,55
-194.0348807,55
-193.720927,55
-193.4069734,55
-193.0930197,55
-192.7790661,55
-192.4651125,55
-192.1511588,55
-191.8372052,55
-191.5232515,55
-191.2092979,55
-190.8953442,55
-190.5813906,55
-190.2674369,55
-189.9534833,55
-189.6395296,55
-189.325576,55
-189.0116223,55
-188.6976687,55
-188.383715,55
-188.0697614,55
-187.7558077,55
-187.4418541,55
-187.1279004,55
-186.8139468,55
-186.4999931,55
-186.1860395,55
-185.8720858,55
-185.5581322,55
-185.2441786,55
-184.9302249,55
-184.6162713,55
-184.3023176,55
-183.988364,55
-183.6744103,55
-183.3604567,55
-183.046503,55
-182.7325494,55
-182.4185957,55
-182.1046421,55
-181.7906884,55
-181.4767348,55
-181.1627811,55
-180.8488275,55
-180.5348738,55
-180.2209202,55
-179.9069665,55
-179.5930129,55
-179.2790592,55
-178.9651056,55
-178.6511519,55
-178.3371983,55
-178.0232447,55
-177.709291,55
-177.3953374,55
-177.0813837,55
-176.7674301,55
-176.4534764,55
-176.1395228,55
-175.8255691,55
-175.5116155,55
-175.1976618,55
-174.8837082,55
-174.5697545,55
-174.2558009,55
-173.9418472,55
-173.6278936,55
-173.3139399,55
-172.9999863,55
-172.6860326,55
-172.372079,55
-172.0581253,55
-171.7441717,55
-171.430218,55
-171.1162644,55
-170.8023108,55
-170.4883571,55
-170.1744035,55
-169.8604498,55
-169.5464962,55
-169.2325425,55
-168.9185889,55
-168.6046352,55
-168.2906816,55
-167.9767279,55
-167.6627743,55
-167.3488206,55
-167.034867,55
-166.7209133,55
-166.4069597,55
-166.093006,55
-165.7790524,55
-165.4650987,55
-165.1511451,55
-164.8371914,55
-164.5232378,55
-164.2092841,55
-163.8953305,55
-163.5813768,55
-163.2674232,55
-162.9534696,55
-162.6395159,55
-162.3255623,55
-162.0116086,55
-161.697655,55
-161.3837013,55
-161.0697477,55
-160.755794,55
-160.4418404,55
-160.1278867,55
-159.8139331,55
-159.4999794,55
-159.1860258,55
-158.8720721,55
-158.5581185,55
-158.2441648,55
-157.9302112,55
-157.6162575,55
-157.3023039,55
-156.9883502,55
-156.6743966,55
-156.3604429,55
-156.0464893,55
-155.7325357,55
-155.418582,55
-155.1046284,55
-154.7906747,55
-154.4767211,55
-154.1627674,55
-153.8488138,55
-153.5348601,55
-153.2209065,55
-152.9069528,55
-152.5929992,55
-152.2790455,55
-151.9650919,55
-151.6511382,55
-151.3371846,55
-151.0232309,55
-150.7092773,55
-150.3953236,55
-150.08137,55
-149.7674163,55
-149.4534627,55
-149.139509,55
-148.8255554,55
-148.5116018,55
-148.1976481,55
-147.8836945,55
-147.5697408,55
-147.2557872,55
-146.9418335,55
-146.6278799,55
-146.3139262,55
-145.9999726,55
-145.6860189,55
-145.3720653,55
-145.0581116,55
-144.744158,55
-144.4302043,55
-144.1162507,55
-143.802297,55
-143.4883434,55
-143.1743897,55
-142.8604361,55
-142.5464824,55
-142.2325288,55
-141.9185751,55
-141.6046215,55
-141.2906679,55
-140.9767142,55
-140.6627606,55
-140.3488069,55
-140.0348533,55
-139.7208996,55
-139.406946,55
-139.0929923,55
-138.7790387,55
-138.465085,55
-138.1511314,55
-137.8371777,55
-137.5232241,55
-137.2092704,55
-136.8953168,55
-136.5813631,55
-136.2674095,55
-135.9534558,55
-135.6395022,55
-135.3255485,55
-135.0115949,55
-134.6976412,55
-134.3836876,55
-134.069734,55
-133.7557803,55
-133.4418267,55
-133.127873,55
-132.8139194,55
-132.4999657,55
-132.1860121,55
-131.8720584,55
-131.5581048,55
-131.2441511,55
-130.9301975,55
-130.6162438,55
-130.3022902,55
-129.9883365,55
-129.6743829,55
-129.3604292,55
-129.0464756,55
-128.7325219,55
-128.4185683,55
-128.1046146,55
-127.790661,55
-127.4767073,55
-127.1627537,55
-126.8488001,55
-126.5348464,55
-126.2208928,55
-125.9069391,55
-125.5929855,55
-125.2790318,55
-124.9650782,55
-124.6511245,55
-124.3371709,55
-124.0232172,55
-123.7092636,55
-123.3953099,55
-123.0813563,55
-122.7674026,55
-122.453449,55
-122.1394953,55
-121.8255417,55
-121.511588,55
-121.1976344,55
-120.8836807,55
-120.5697271,55
-120.2557734,55
-119.9418198,55
-119.6278662,55
-119.3139125,55
-118.9999589,55
-118.6860052,55
-118.3720516,55
-118.0580979,55
-117.7441443,55
-117.4301906,55
-117.116237,55
-116.8022833,55
-116.4883297,55
-116.174376,55
-115.8604224,55
-115.5464687,55
-115.2325151,55
-114.9185614,55
-114.6046078,55
