Engine + chamber wall radius,x real height
46.0,190.0
46.0,189.5333474
46.0,189.0666947
46.0,188.6000421
46.0,188.1333894
46.0,187.6667368
46.0,187.2000842
46.0,186.7334315
46.0,186.2667789
46.0,185.8001262
46.0,185.3334736
46.0,184.8668209
46.0,184.4001683
46.0,183.9335157
46.0,183.466863
46.0,183.0002104
46.0,182.5335577
46.0,182.0669051
46.0,181.6002525
46.0,181.1335998
46.0,180.6669472
46.0,180.2002945
46.0,179.7336419
46.0,179.2669893
46.0,178.8003366
46.0,178.333684
46.0,177.8670313
46.0,177.4003787
46.0,176.933726
46.0,176.4670734
46.0,176.0004208
46.0,175.5337681
46.0,175.0671155
46.0,174.6004628
46.0,174.1338102
46.0,173.6671576
46.0,173.2005049
46.0,172.7338523
46.0,172.2671996
46.0,171.800547
46.0,171.3338943
46.0,170.8672417
46.0,170.4005891
46.0,169.9339364
46.0,169.4672838
46.0,169.0006311
46.0,168.5339785
46.0,168.0673259
46.0,167.6006732
46.0,167.1340206
46.0,166.6673679
46.0,166.2007153
46.0,165.7340627
46.0,165.26741
46.0,164.8007574
46.0,164.3341047
46.0,163.8674521
46.0,163.4007994
46.0,162.9341468
46.0,162.4674942
46.0,162.0008415
46.0,161.5341889
46.0,161.0675362
46.0,160.6008836
46.0,160.134231
46.0,159.6675783
46.0,159.2009257
46.0,158.734273
46.0,158.2676204
46.0,157.8009678
46.0,157.3343151
46.0,156.8676625
46.0,156.4010098
46.0,155.9343572
46.0,155.4677045
46.0,155.0010519
46.0,154.5343993
46.0,154.0677466
46.0,153.601094
46.0,153.1344413
46.0,152.6677887
46.0,152.2011361
46.0,151.7344834
46.0,151.2678308
46.0,150.8011781
46.0,150.3345255
46.0,149.8678729
46.0,149.4012202
46.0,148.9345676
46.0,148.4679149
46.0,148.0012623
46.0,147.5346096
46.0,147.067957
46.0,146.6013044
46.0,146.1346517
46.0,145.6679991
46.0,145.2013464
46.0,144.7346938
46.0,144.2680412
46.0,143.8013885
46.0,143.3347359
46.0,142.8680832
46.0,142.4014306
46.0,141.934778
46.0,141.4681253
46.0,141.0014727
46.0,140.53482
46.0,140.0681674
46.0,139.6015147
46.0,139.1348621
46.0,138.6682095
46.0,138.2015568
46.0,137.7349042
46.0,137.2682515
46.0,136.8015989
46.0,136.3349463
46.0,135.8682936
46.0,135.401641
46.0,134.9349883
46.0,134.4683357
46.0,134.001683
46.0,133.5350304
46.0,133.0683778
46.0,132.6017251
46.0,132.1350725
46.0,131.6684198
46.0,131.2017672
46.0,130.7351146
46.0,130.2684619
46.0,129.8018093
46.0,129.3351566
46.0,128.868504
46.0,128.4018514
46.0,127.9351987
46.0,127.4685461
46.0,127.00189340000001
46.0,126.5352408
46.0,126.06858809999999
46.0,125.60193549999998
46.0,125.1352829
46.0,124.6686302
46.0,124.2019776
46.0,123.7353249
46.0,123.2686723
46.0,122.8020197
46.0,122.335367
46.0,121.8687144
46.0,121.4020617
46.0,120.9354091
46.0,120.4687565
46.0,120.0021038
46.0,119.5354512
46.0,119.0687985
46.0,118.6021459
46.0,118.1354932
46.0,117.6688406
46.0,117.202188
46.0,116.7355353
46.0,116.2688827
46.0,115.80223
46.0,115.3355774
46.0,114.8689248
46.0,114.4022721
46.0,113.9356195
46.0,113.4689668
46.0,113.0023142
46.0,112.5356616
46.0,112.0690089
46.0,111.6023563
46.0,111.1357036
46.0,110.669051
46.0,110.2023983
46.0,109.7357457
46.0,109.2690931
46.0,108.8024404
46.0,108.3357878
46.0,107.8691351
46.0,107.4024825
46.0,106.9358299
46.0,106.4691772
46.0,106.0025246
46.0,105.5358719
46.0,105.0692193
46.0,104.6025667
46.0,104.135914
46.0,103.6692614
46.0,103.2026087
46.0,102.7359561
46.0,102.2693034
46.0,101.8026508
